name,company_number,jurisdiction_code,search_company_type,search_company_name,search_company_jurisdiction_code,search_company_country_code,search_company_company_number,search_company_country_name
"SLIPSTREAM GROUP, INC.",494134-122,pr,controlling_entity,"SLIPSTREAM GROUP, INC.",us_wi,US,6W16173,United States of America
"VALUEQUEST AMC, INC.",493973-112,pr,controlling_entity,"VALUEQUEST AMC, INC.",us_ct,US,1066498,United States of America
INNOVATIVE ENVIRONMENTAL TECHNOLOGIES CORPORATION,493869-112,pr,controlling_entity,INNOVATIVE ENVIRONMENTAL TECHNOLOGIES CORPORATION,us_pa,US,,United States of America
NATERA INC.,493650-112,pr,controlling_entity,"NATERA, INC.",us_de,US,4292589,United States of America
ESTANCIA DORADA PARTNERS INC.,493428-112,pr,controlling_entity,ESTANCIA DORADA PARTNERS INC.,us_de,US,6945853,United States of America
FINGER LAKES MIGRANT HEALTH CARE PROJECT INC.,493277-122,pr,controlling_entity,"FINGER LAKES MIGRANT HEALTH CARE PROJECT, INC.",us_ny,US,2465220,United States of America
"S.I. RAPHAEL, LTD. INC.",493078-112,pr,controlling_entity,"S.I. RAPHAEL, LTD. INC.",us_nj,US,0100495142,United States of America
POLYGON US CORPORATION,492860-112,pr,controlling_entity,POLYGON US CORPORATION,us_de,US,4833402,United States of America
JP540 PROPERTY INC.,492481-112,pr,controlling_entity,JP540 PROPERTY INC.,us_ny,US,6411254,United States of America
BRALE INC.,492292-112,pr,controlling_entity,BRALE INC.,us_de,US,,United States of America
"CENTRAL PORTFOLIO CONTROL, INC.",492060-112,pr,controlling_entity,Central Portfolio Control Inc.,us_mn,US,d4f7331f-bad4-e011-a886-001ec94ffe7f,United States of America
ADVANCED GENETICS SOLUTIONS LLC,491675-1512,pr,controlling_entity,ADVANCED GENETICS SOLUTIONS LLC,us_fl,US,L18000140784,United States of America
"SOUND SAFETY PRODUCTS CO., INC.",491523-112,pr,controlling_entity,"SOUND SAFETY PRODUCTS CO., INC.",us_wa,US,600220227,United States of America
PALANTIR TECHNOLOGIES INC.,491387-112,pr,controlling_entity,Palantir Technologies Inc.,us_co,US,20201707433,United States of America
REAL TIME TECHNOLOGIES LLC,491177-112,pr,controlling_entity,"REAL TIME TECHNOLOGIES, INC",us_mi,US,800757978,United States of America
MAPP LLC,490989-1512,pr,controlling_entity,"MAPP, LLC",us_la,US,35063808K,United States of America
"MCCLAIN INSURANCE AGENCY, LLC",490763-1512,pr,controlling_entity,"MCCLAIN INSURANCE AGENCY, LLC",us_de,US,3161052,United States of America
ASOCIACION PROVIDA DE VENEZUELA PROVIDA INC.,490607-122,pr,controlling_entity,ASOCIACION PROVIDA DE VENEZUELA PROVIDA INC.,us_fl,US,,United States of America
"FREYSSINET, INC.",490475-112,pr,controlling_entity,"FREYSSINET, INC.",us_de,US,,United States of America
FINANCIAL ADVISORY INC.,490161-112,pr,controlling_entity,FINANCIAL ADVISORY INC.,us_de,US,5506582,United States of America
AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINISTRATORS CORPORATION,489932-112,pr,controlling_entity,AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINISTRATORS CORPORATION,us_va,US,,United States of America
CIRO TWO SALINAS LLC,489779-1512,pr,controlling_entity,CIRO TWO SALINAS LLC,us_de,US,6116598,United States of America
"FORVIS MAZARS, LLP",489503-812,pr,controlling_entity,"FORVIS, LLP",us_de,US,6724663,United States of America
"MICHELS POWER, INC.",489103-112,pr,controlling_entity,"MICHELS POWER, INC.",us_de,US,6029047,United States of America
CASA NOSTRA LLC,488780-1512,pr,controlling_entity,"CASA NOSTRA, LLC",us_in,US,2004020600193,United States of America
COMMISSIONING AGENTS INC.,488577-112,pr,controlling_entity,"COMMISSIONING AGENTS, INC.",us_in,US,1996041160,United States of America
"SAN LORENZO APARTMENTS, LLC",488240-1512,pr,controlling_entity,"SAN LORENZO APARTMENTS, LLC",us_de,US,6834142,United States of America
"COHEN SEQUOIA ENTERPRISES, LTD.",487893-1512,pr,controlling_entity,"COHEN & COMPANY ENTERPRISES, LTD.",us_oh,US,1825129,United States of America
PALOUSE POWER LIMITED LIABILITY COMPANY,487576-1512,pr,controlling_entity,"PALOUSE POWER, LLC",us_wa,US,604350482,United States of America
"KAJIMA BUILDING & DESIGN GROUP, INCORPORATED",487355-112,pr,controlling_entity,"KAJIMA BUILDING & DESIGN GROUP, INC.",us_de,US,4229749,United States of America
MIJENTE INC.,487193-122,pr,controlling_entity,MIJENTE,us_az,US,21047997,United States of America
"PRIMERA ENGINEERS, LTD. INC.",486949-112,pr,controlling_entity,"PRIMERA ENGINEERS, LTD. INC.",us_il,US,,United States of America
"AXENE HEALTH PARTNERS, LLC",486759-1512,pr,controlling_entity,"AXENE HEALTH PARTNERS, LLC",us_ca,US,200312010038,United States of America
MOON MORTGAGE RESIDENTIAL LLC,486574-1512,pr,controlling_entity,MOON MORTGAGE RESIDENTIAL LLC,us_de,US,6709062,United States of America
"LDLP, L.L.C.",486419-1512,pr,controlling_entity,"LDLP, L.L.C.",us_fl,US,L09000116033,United States of America
"RUDER FINN, INC.",486156-112,pr,controlling_entity,"RUDER FINN, INC.",us_ny,US,2643927,United States of America
"CRUZ TEC, INC.",485742-112,pr,controlling_entity,"CRUZ TEC, INC.",us_tx,US,0162945600,United States of America
BIG STUFF REALTY 2 LLC,485586-1512,pr,controlling_entity,BIG STUFF REALTY 2 LLC,us_nj,US,,United States of America
PROMEGA CORPORATION,485355-112,pr,controlling_entity,PROMEGA CORPORATION,us_wi,US,1B16353,United States of America
NORTHWEST DEMOLITION AND DISMANTLING INC.,485200-112,pr,controlling_entity,"NORTHWEST DEMOLITION AND DISMANTLING, INC.",us_or,US,21017314,United States of America
CNA CORPORATION,485-122,pr,controlling_entity,CENTER FOR NAVAL ANALYSIS,us_va,US,,United States of America
THE PIRKO GROUP LLC,484816-1512,pr,controlling_entity,The Pirko Group LLC,us_va,US,S3289370,United States of America
"FIRST COMMAND BROKERAGE SERVICES, INC.",484361-112,pr,controlling_entity,"First Command Brokerage Services, Inc.",us_tx,US,0015070800,United States of America
LANDMARK SUPPLY LLC,484159-1512,pr,controlling_entity,LANDMARK SUPPLY LLC,us_nj,US,,United States of America
SPEARHEAD MOBILITY INC.,483936-112,pr,controlling_entity,Spearhead Mobility Inc,us_tx,US,0803634784,United States of America
FERRARO ENTERPRISES LLC,483752-1512,pr,controlling_entity,"FERRARO ENTERPRISES, LLC",us_wi,US,F068018,United States of America
SIGHTLINE PAYMENTS LLC,483583-1512,pr,controlling_entity,SIGHTLINE PAYMENTS LLC,us_de,US,4362027,United States of America
LAKEVIEW MORTGAGE BANKERS CORP.,483440-112,pr,controlling_entity,LAKEVIEW MORTGAGE BANKERS CORP.,us_ny,US,3080385,United States of America
"SUNNOVA SOL IV OWNER, LLC",483132-1512,pr,controlling_entity,"SUNNOVA SOL IV OWNER, LLC",us_de,US,6536862,United States of America
SAPPER ELITE CONSTRUCTION CO. LLC,482879-1512,pr,controlling_entity,Sapper elite construction co. Llc,us_az,US,1893871,United States of America
SAFE HAVEN PROPERTY SOLUTIONS LLC,482303-1512,pr,controlling_entity,"SAFE HAVEN PROPERTY SOLUTIONS, LLC",us_nv,US,E14191522021-5,United States of America
PAREXEL INTERNATIONAL LLC,482010-1512,pr,controlling_entity,"PAREXEL INTERNATIONAL, LLC",us_de,US,3254068,United States of America
"CREATIVE ONE MARKETING, LLC",481921-1512,pr,controlling_entity,"CREATIVE ONE MARKETING, LLC",us_ks,US,0908715,United States of America
"MUNICH RE SPECIALTY GROUP INSURANCE SERVICES, INC.",481731-112,pr,controlling_entity,"MUNICH RE SPECIALTY GROUP SERVICES, INC.",us_il,US,,United States of America
CK RESTORATION LLC,481317-1512,pr,controlling_entity,CK RESTORATION LLC,us_ok,US,3512322716,United States of America
G. A. BRAUN INC.,481143-112,pr,controlling_entity,"G. A. BRAUN, INC.",us_ny,US,58290,United States of America
IPG PHOTONICS CORPORATION,480798-112,pr,controlling_entity,IPG PHOTONICS CORPORATION,us_de,US,2972875,United States of America
OHANA INSTITUTE INC.,480564-122,pr,controlling_entity,"OHANA INSTITUTE, INC.",us_fl,US,N11000005214,United States of America
FUJISAN FRANCHISING CORP.,480107-112,pr,controlling_entity,FUJISAN FRANCHISING CORP.,us_ca,US,3917715,United States of America
"CARIBBEAN PROPERTY RENTALS, LLC",479980-1512,pr,controlling_entity,"CARIBBEAN PROPERTY RENTALS, LLC",us_de,US,6541612,United States of America
COMMUNITY TAX PUERTO RICO LLC,479757-1512,pr,controlling_entity,COMMUNITY TAX PUERTO RICO LLC,us_de,US,6354759,United States of America
LND TECHNICAL SERVICES LLC,479393-1512,pr,controlling_entity,LND TECHNICAL SERVICES LLC,us_de,US,7966068,United States of America
SB PORT VENTURES LLC,479028-1512,pr,controlling_entity,SB PORT VENTURES LLC,us_fl,US,L17000104253,United States of America
"COVID TESTING, LLC",478689-1512,pr,controlling_entity,"COVID TESTING, LLC",us_fl,US,L20000240055,United States of America
BAM TRADING SERVICES INC.,478302-112,pr,controlling_entity,BAM TRADING SERVICES INC.,us_de,US,7266675,United States of America
POPULAR IMPACT FUND LLC,478110-1512,pr,controlling_entity,POPULAR IMPACT FUND LLC,us_de,US,6265958,United States of America
"ARCHER AND OLIVE, LLC",477743-1512,pr,controlling_entity,"Archer and Olive, LLC",us_tx,US,0802168606,United States of America
THE MICHAELS DEVELOPMENT COMPANY I L.L.P.,477538-812,pr,controlling_entity,"THE MICHAELS DEVELOPMENT COMPANY I, L.P.",us_nj,US,0600014956,United States of America
GREEN WALL LUXURY LLC,477297-1512,pr,controlling_entity,"GREEN WALL LUXURY, LLC",us_fl,US,L20000384791,United States of America
"SUNRUN JUPITER OWNER 2022-1, LLC",476791-1512,pr,controlling_entity,"SUNRUN JUPITER OWNER 2022-1, LLC",us_de,US,6338614,United States of America
"PZI INTERNATIONAL SOLUTIONS, INC.",476595-112,pr,controlling_entity,"PZI INTERNATIONAL SOLUTIONS, INC.",us_de,US,6544683,United States of America
YOURPAY LLC,476485-1512,pr,controlling_entity,YOURPAY LLC,us_de,US,7475827,United States of America
CBIZ INVESTMENT ADVISORY SERVICES LLC,476288-1512,pr,controlling_entity,"CBIZ INVESTMENT ADVISORY SERVICES, LLC",us_de,US,6153529,United States of America
MAQUI TRAVEL SERVICES CORP.,475970-112,pr,controlling_entity,MAQUI TRAVEL SERVICES CORP,us_fl,US,P15000063993,United States of America
A+S IDEAS STUDIO INC.,475932-112,pr,controlling_entity,"A+S IDEAS STUDIO, INC.",us_fl,US,P10000038327,United States of America
PATTERN CAROLINA STORAGE LLC,475492-1512,pr,controlling_entity,PATTERN CAROLINA STORAGE LLC,us_de,US,6308111,United States of America
UNIQUE DESIGN & DEVELOPMENT LLC,475341-1512,pr,controlling_entity,UNIQUE DESIGN & DEVELOPMENT LLC,us_mi,US,801266399,United States of America
INFOTREE GLOBAL SOLUTIONS CORP.,474439-112,pr,controlling_entity,INFOTREE GLOBAL SOLUTIONS CORP.,us_mi,US,801984131,United States of America
RETAIL MECHANICAL SERVICES INC CORPORATION,474140-112,pr,controlling_entity,RETAIL MECHANICAL SERVICES INC CORPORATION,us_ny,US,,United States of America
"EVERETT FINANCIAL, INC.",473882-112,pr,controlling_entity,"EVERETT FINANCIAL, INC.",us_tx,US,0143103300,United States of America
EAGLE BAY ADVISORS LLC,473508-1512,pr,controlling_entity,EAGLE BAY ADVISORS LLC,us_ny,US,4759789,United States of America
RIZZO INTERNATIONAL INC INCORPORATED,473265-112,pr,controlling_entity,RIZZO INTERNATIONAL INC INCORPORATED,us_pa,US,,United States of America
BBS OF POMPANO BEACH LLC,472887-1512,pr,controlling_entity,"BBS OF POMPANO BEACH, LLC",us_fl,US,L14000076659,United States of America
RIVER FINANCIAL INC.,472468-112,pr,controlling_entity,RIVER FINANCIAL INC.,us_de,US,,United States of America
"EAGLE ASSET MANAGEMENT, INC.",472165-112,pr,controlling_entity,"EAGLE ASSET MANAGEMENT, INC.",us_fl,US,G83865,United States of America
"SUNRUN JUNO OWNER 2019, LLC",471763-1512,pr,controlling_entity,"SUNRUN JUNO OWNER 2019, LLC",us_de,US,7435085,United States of America
"SUNRUN DEMETER HOLDINGS 2021-2, LLC",471530-1512,pr,controlling_entity,"SUNRUN DEMETER HOLDINGS 2021-2, LLC",us_de,US,6172120,United States of America
"GATOR BAYAMON OWNER, LLC",471243-1512,pr,controlling_entity,"GATOR BAYAMON OWNER, LLC",us_fl,US,L21000365036,United States of America
"BRUSTEIN & MANASEVIT, PLLC LLC",470875-1512,pr,controlling_entity,The Bruman Group PLLC,us_dc,US,EXTUID_4103513,United States of America
JAK ENTERTAINMENT LLC,470727-1512,pr,controlling_entity,JAK ENTERTAINMENT LLC,us_fl,US,L19000143561,United States of America
DYNAMIC CHEMICAL PRODUCTS INCORPORATED,470294-112,pr,controlling_entity,"DYNAMIC CHEMICAL PRODUCTS, INC.",us_fl,US,P03000027405,United States of America
"BLUEGRASS BIT COMPANY, INC.",470012-112,pr,controlling_entity,"BLUEGRASS BIT COMPANY, INC.",us_wy,US,,United States of America
CHOCOLARTE BX. LLC,469904-1512,pr,controlling_entity,"CHOCOLARTE BX, LLC",us_ny,US,6214209,United States of America
VANGUARD VISION LLC,469624-1512,pr,controlling_entity,VANGUARD VISION LLC,us_fl,US,L17000113647,United States of America
GOLD HILL VENTURES LLC,469295-1512,pr,controlling_entity,GOLD HILL VENTURES LLC,us_ky,US,,United States of America
CARIBBEAN HEMP INDUSTRY LLC,468945-1512,pr,controlling_entity,CARIBBEAN HEMP INDUSTRY LLC,us_fl,US,,United States of America
"ZAP SOLUTIONS, INC.",468770-112,pr,controlling_entity,"ZAP SOLUTIONS, INC.",us_de,US,7430760,United States of America
"ARMAND RESOURCE GROUP, INC.",468413-112,pr,controlling_entity,"ARMAND RESOURCE GROUP, INC.",us_nj,US,0100867343,United States of America
G.A.S. GLOBAL SERVICES PUERTO RICO LLC,468312-1512,pr,controlling_entity,G.A.S. GLOBAL SERVICES PUERTO RICO LLC,us_tx,US,,United States of America
"FORIS DAX, INC.",467962-112,pr,controlling_entity,"FORIS DAX, INC.",us_de,US,7804053,United States of America
ELR II LLC,467750-1512,pr,controlling_entity,ELR II LLC,us_il,US,LLC_10298911,United States of America
STANTEC CONSULTING PUERTO RICO LLP,467446-812,pr,controlling_entity,STANTEC CONSULTING PUERTO RICO LLP,us_de,US,5939273,United States of America
"CARGO SCREENING K9 ALLIANCE, LLC",467245-1512,pr,controlling_entity,"CARGO SCREENING K9 ALLIANCE, LLC",us_de,US,6771117,United States of America
MENNONITE CENTRAL COMMITTEE EAST COAST,467-122,pr,controlling_entity,Mennonite Central Committee East Coast,us_pa,US,3017100,United States of America
"IMST DISTRIBUTORS, LLC",466594-1512,pr,controlling_entity,"IMST DISTRIBUTORS, LLC",us_de,US,3758133,United States of America
"FORESIDE FUND SERVICES, LLC",466189-1512,pr,controlling_entity,"FORESIDE FUND SERVICES, LLC",us_de,US,2941924,United States of America
DIA AGENCY INC.,466058-112,pr,controlling_entity,DIA AGENCY INC.,us_oh,US,,United States of America
PERFORMANCE LEADERSHIP RECRUITING LLC,465681-1512,pr,controlling_entity,Performance Leadership Recruiting LLC,us_pa,US,7004446,United States of America
"RAMBOLL US CONSULTING, INC.",465463-112,pr,controlling_entity,"Ramboll US Consulting, Inc.",us_va,US,03463866,United States of America
"INNOVATIVE MEASURING SYSTEMS, INC.",465214-112,pr,controlling_entity,"INNOVATIVE MEASURING SYSTEMS, INC.",us_az,US,21567294,United States of America
"SUNRUN ULYSSES OWNER 2021, LLC",465123-1512,pr,controlling_entity,"SUNRUN ULYSSES OWNER 2021, LLC",us_de,US,5828721,United States of America
"PARADISE GHOST WALKS, LIMITED LIABILITY COMPANY",464926-1512,pr,controlling_entity,"PARADISE GHOST WALKS, LLC",us_wi,US,P079998,United States of America
BEAN IP LAW LLC,464670-1512,pr,controlling_entity,BEAN IP LAW LLC,us_ut,US,,United States of America
ELECTROLUX PUERTO RICO CORPORATION,4643-112,pr,controlling_entity,ELECTROLUX PUERTO RICO CORPORATION,us_de,US,809759,United States of America
EMERGENT DEVICES INC.,463973-112,pr,controlling_entity,EMERGENT DEVICES INC.,us_de,US,,United States of America
EXTEND WARRANTY SERVICES CORPORATION,463813-112,pr,controlling_entity,EXTEND WARRANTY SERVICES CORPORATION,us_de,US,4430298,United States of America
CHENEGA SECURITY INTERNATIONAL LLC,463533-1512,pr,controlling_entity,"Chenega Security International, LLC",us_ak,US,10036297,United States of America
NEDAP INC.,463145-112,pr,controlling_entity,NEDAP INC.,us_de,US,5290553,United States of America
NIXON PEABODY LLP,462592-812,pr,controlling_entity,NIXON PEABODY LLP,us_ny,US,1943628,United States of America
JSM AIRPORT SERVICES LLC,462315-1512,pr,controlling_entity,"JSM AIRPORT SERVICES, LLC",us_fl,US,L20000324306,United States of America
CINTEX WIRELESS LLC,461834-1512,pr,controlling_entity,CINTEX WIRELESS LLC,us_de,US,4381064,United States of America
OFFABBOT SPORTS INC.,461516-112,pr,controlling_entity,OFFABBOT SPORTS INC.,us_de,US,,United States of America
HEREDITARY ANGIOEDEMA ASSOCIATION INC.,461217-122,pr,controlling_entity,HEREDITARY ANGIOEDEMA ASSOCIATION INC.,us_pa,US,2919206,United States of America
BRAHMA KUMARIS WORLD SPIRITUAL ORGANIZATION,461-122,pr,controlling_entity,BRAHMA KUMARIS WORLD SPIRITUAL ORGANIZATION,us_tx,US,0041385601,United States of America
"ENEL X LAS PIEDRAS, LLC",460714-1512,pr,controlling_entity,"ENEL X LAS PIEDRAS, LLC",us_de,US,4925120,United States of America
APSI CONSTRUCTION MANAGEMENT INC.,460322-112,pr,controlling_entity,APSI CONSTRUCTION MANAGEMENT,us_ca,US,1482680,United States of America
"NEW HOLLAND CREDIT COMPANY, LLC",460-1532,pr,controlling_entity,"NEW HOLLAND CREDIT COMPANY, LLC",us_de,US,2617492,United States of America
NAIN MUSIC LLC,459626-1512,pr,controlling_entity,"NAIN MUSIC, LLC",us_fl,US,L18000288571,United States of America
"NJBSOFT, LLC",459416-1512,pr,controlling_entity,"NJBSOFT, LLC",us_az,US,,United States of America
TRIAD UNLIMITED LLC,458971-1512,pr,controlling_entity,"TRIAD UNLIMITED, LLC",us_ca,US,201624310368,United States of America
"LEXINGTON SPECIALTY INSURANCE AGENCY, INC.",458538-112,pr,controlling_entity,"LEXINGTON SPECIALTY INSURANCE AGENCY, INC.",us_de,US,3101930,United States of America
DEWBERRY-PR DEL CARIBE II LLC,458151-1512,pr,controlling_entity,DEWBERRY-PR DEL CARIBE II LLC,us_de,US,4819333,United States of America
BUSINESS INFORMATION SYSTEMS INC.,457714-112,pr,controlling_entity,BUSINESS INFORMATION SYSTEMS CORPORATION,us_fl,US,,United States of America
MB3 INC.,456807-112,pr,controlling_entity,MB3 INC.,us_de,US,3914229,United States of America
W. BROWN & ASSOCIATES INS SERVICES LLC,456412-1512,pr,controlling_entity,W. BROWN & ASSOCIATES INS SERVICES LLC,us_ca,US,,United States of America
"DIGITAL HARBOR, INC.",456211-112,pr,controlling_entity,"DIGITAL HARBOR, INC.",us_de,US,4423023,United States of America
GATOR GUAYNABO LLC,456024-1512,pr,controlling_entity,GATOR GUAYNABO LLC,us_fl,US,L20000352645,United States of America
"GENESCO SPORTS ENTERPRISES, INC.",455772-112,pr,controlling_entity,"GENESCO SPORTS ENTERPRISES, INC.",us_tx,US,0133814100,United States of America
"QUALITY DWELLINGS, LLC",455577-1512,pr,controlling_entity,"Quality Dwellings, LLC",us_az,US,23066328,United States of America
EAST BEACH 9 LLC,455293-1512,pr,controlling_entity,"EAST BEACH 9, LLC",us_az,US,L20930752,United States of America
ROYAL & SUNALLIANCE INSURANCE AGENCY LLC,454705-112,pr,controlling_entity,"ROYAL & SUNALLIANCE INSURANCE AGENCY, INC.",us_de,US,3826862,United States of America
TEXAS INSTRUMENTS INCORPORATED,454483-112,pr,controlling_entity,TEXAS INSTRUMENTS INCORPORATED,us_de,US,368223,United States of America
"VDR MM, LLC",454338-1512,pr,controlling_entity,"VDR MM, LLC",us_de,US,3738276,United States of America
"RESIDENT ADVOCATE, LLC",453913-1512,pr,controlling_entity,"RESIDENT ADVOCATE, LLC",us_md,US,W20931572,United States of America
"RAM PAYMENT, LLC",453621-1512,pr,controlling_entity,"RAM PAYMENT, LLC",us_de,US,7117518,United States of America
NYSWAY LLC,453409-1512,pr,controlling_entity,NYSWAY LLC,us_fl,US,L12000060624,United States of America
PUERTO RICO SUNRISE AT RIVER PARK PARTNERS LLC,453176-1512,pr,controlling_entity,PUERTO RICO SUNRISE AT RIVER PARK PARTNERS LLC,us_il,US,LLC_09371044,United States of America
"SERVICELINK AUCTION, LLC",452995-1512,pr,controlling_entity,"SERVICELINK AUCTION, LLC",us_de,US,6375134,United States of America
FLORIDA COMPASS GROUP L.L.C.,452617-1512,pr,controlling_entity,"FLORIDA COMPASS GROUP, LLC",us_fl,US,L07000049284,United States of America
INMOBILIARIA ALAMEDA METROPOLITANA LLC,452453-1512,pr,controlling_entity,INMOBILIARIA ALAMEDA METROPOLITANA LLC,us_de,US,7936721,United States of America
MOCKINGBIRD PHARMA LLC,452241-1512,pr,controlling_entity,Mockingbird Pharma LLC,us_tx,US,0802360097,United States of America
OLGA IGLESIAS PROJECT INC.,451851-122,pr,controlling_entity,"OLGA IGLESIAS PROJECT, INC.",us_fl,US,N20000009219,United States of America
"MIDWEST COOLING TOWERS, INC.",451548-112,pr,controlling_entity,"MIDWEST COOLING TOWERS, INC.",us_ok,US,,United States of America
"GOHEALTH, LLC",450986-1512,pr,controlling_entity,"GOHEALTH, LLC",us_de,US,4591609,United States of America
ZEPHI INNOVATION LLC,450727-1512,pr,controlling_entity,ZEPHI INNOVATIONS LLC,us_wy,US,,United States of America
"INGENESIS ALLIANCE, LLC",450274-1512,pr,controlling_entity,"InGenesis Alliance, LLC",us_tx,US,0802457561,United States of America
IMPACT STAFF LEASING LLC,448928-1512,pr,controlling_entity,"IMPACT STAFF LEASING, LLC",us_fl,US,M17000002737,United States of America
METLANG LLC,448509-1512,pr,controlling_entity,METLANG LLC,us_de,US,4796660,United States of America
CITY LENDING INC.,448033-112,pr,controlling_entity,City Lending Inc.,us_va,US,07614993,United States of America
"TRINOVA, INC.",447320-112,pr,controlling_entity,"Trinova, Inc.",us_al,US,000-018-379,United States of America
"HARTFORD FUNDS DISTRIBUTORS, LLC",447-1532,pr,controlling_entity,"HARTFORD FUNDS DISTRIBUTORS, LLC",us_de,US,2691551,United States of America
"ALVAREZ & MARSAL CORPORATE PERFORMANCE IMPROVEMENT, LLC",446399-1512,pr,controlling_entity,"ALVAREZ & MARSAL CORPORATE PERFORMANCE IMPROVEMENT, LLC",us_de,US,3741535,United States of America
"ISLAND PEER REVIEW ORGANIZATION, INC.",446-122,pr,controlling_entity,"ISLAND PEER REVIEW ORGANIZATION, INC.",us_ny,US,857847,United States of America
"ROBINHOOD MONEY, LLC",445609-1512,pr,controlling_entity,"ROBINHOOD MONEY, LLC",us_de,US,7975908,United States of America
"SUNNOVA RAYS I DEPOSITOR, LLC",445038-1512,pr,controlling_entity,"SUNNOVA RAYS I DEPOSITOR, LLC",us_de,US,7201160,United States of America
"OOD FILM PRODUCTION PR, LLC",444360-1512,pr,controlling_entity,"OOD FILM PRODUCTION PR, LLC",us_de,US,7971017,United States of America
ACTIVE DEPLOYMENT SYSTEMS LLC,443974-112,pr,controlling_entity,ACTIVE DEPLOYMENT SYSTEMS INC,us_de,US,4630722,United States of America
AMERICAN GLOBAL LLC,443594-1512,pr,controlling_entity,AMERICAN GLOBAL LLC,us_dc,US,,United States of America
MERCY COMMUNITY CAPITAL CORP.,443174-122,pr,controlling_entity,MERCY COMMUNITY CAPITAL,us_co,US,20001166659,United States of America
ADVANCIA TECHNOLOGIES LLC,442708-1512,pr,controlling_entity,"ADVANCIA TECHNOLOGIES, LLC",us_ok,US,3512140227,United States of America
"NORTH SOUTH CONSULTING GROUP, LLC",442403-1512,pr,controlling_entity,"NORTH SOUTH CONSULTING GROUP, LLC",us_ky,US,0766225,United States of America
PROVANTAGE CORPORATE SOLUTIONS LLC,442235-1512,pr,controlling_entity,"ProVantage Corporate Solutions, LLC",us_nc,US,1051535,United States of America
HORSMAN HOLDINGS LLC,441901-1512,pr,controlling_entity,"HORSMAN HOLDINGS, LLC",us_mt,US,C216188,United States of America
SOURCEPOINT FULFILLMENT SERVICES INC.,441609-112,pr,controlling_entity,Sourcepoint Fulfillment Services Inc.,us_pa,US,883530,United States of America
"UNION SERVICES AGENCY, INC.",441266-112,pr,controlling_entity,"UNION SERVICES AGENCY, INC.",us_mi,US,,United States of America
"THE CATHOLIC MUTUAL RELIEF SOCIETY F AMERICA, INC.",441-122,pr,controlling_entity,"THE CATHOLIC MUTUAL RELIEF SOCIETY F AMERICA, INC.",us_ne,US,,United States of America
"SUNNOVA TEP IV-C, LLC",440747-1512,pr,controlling_entity,"SUNNOVA TEP IV-C, LLC",us_de,US,7739090,United States of America
"AMERICAN FIRST FINANCE, LLC",440411-112,pr,controlling_entity,AMERICAN FIRST FINANCE INC.,us_ks,US,,United States of America
"READYCAP LENDING, LLC",440180-1512,pr,controlling_entity,"READYCAP LENDING, LLC",us_de,US,5220603,United States of America
SECURITY & TECHNOLOGY DISTRIBUTORS LLC,439981-1512,pr,controlling_entity,SECURITY & TECHNOLOGY DISTRIBUTORS LLC,us_fl,US,L19000173616,United States of America
PR B&P HOLDINGS LLC,439804-1512,pr,controlling_entity,"PR SOLID GREEN HOLDINGS, LLC",us_az,US,L21000676,United States of America
"WM CAPITAL PARTNERS 76, LLC",439554-1512,pr,controlling_entity,"WM CAPITAL PARTNERS 76, LLC",us_de,US,7504753,United States of America
ACCELERATED WEALTH ADVISORS LLC,439155-1512,pr,controlling_entity,Accelerated Wealth Advisors LLC,us_co,US,20131633861,United States of America
HARDWICK TACTICAL CORPORATION,438787-112,pr,controlling_entity,HARDWICK TACTICAL CORPORATION,us_de,US,7757205,United States of America
COMPLETE PROPERTY SERVICES LLC,438239-1512,pr,controlling_entity,"COMPLETE PROPERTY SERVICES, LLC",us_fl,US,L18000187077,United States of America
ROCKETDESK LLC,437796-1512,pr,controlling_entity,Rocketdesk LLC,us_wy,US,2015-000697098,United States of America
"DSW HOMES, LLC",437295-1512,pr,controlling_entity,"DSW Homes, LLC",us_tx,US,0801195164,United States of America
PSEG PUERTO RICO LLC,436933-1512,pr,controlling_entity,PSEG PUERTO RICO LLC,us_de,US,7717439,United States of America
"BROMEDICON PR, INC.",436281-112,pr,controlling_entity,"BROMEDICON PR, INC.",us_de,US,7517859,United States of America
"WYNDHAM VACATION RESORTS PUERTO RICO, LLC",436-1532,pr,controlling_entity,"WYNDHAM VACATION RESORTS PUERTO RICO, LLC",us_de,US,4355449,United States of America
"SEVENSON ENVIRONMENTAL SERVICES, INC.",435674-112,pr,controlling_entity,"SEVENSON ENVIRONMENTAL SERVICES, INC.",us_ny,US,245773,United States of America
"CAMS SOLAR SERVICES, LLC",435331-1512,pr,controlling_entity,BELECTRIC US LLC,us_oh,US,,United States of America
"SOUTHEASTERN ARCHAEOLOGICAL RESEARCH, INC.",435140-112,pr,controlling_entity,"SOUTHEASTERN ARCHAEOLOGICAL RESEARCH, INC.",us_fl,US,P93000072718,United States of America
COQUI YO FOUNDATION INC.,434870-122,pr,controlling_entity,"COQUI YO FOUNDATION, INC",us_fl,US,N18000009489,United States of America
DLS EAST COAST CONSULTING LLC,434615-1512,pr,controlling_entity,DLS EAST COAST CONSULTING LLC,us_ny,US,5536135,United States of America
EP AMERICA INC.,434392-112,pr,controlling_entity,EP AMERICA INC.,us_nv,US,E0162662009-6,United States of America
