grantee,registration_index,corp_name,status_es,match_type
J.J. CAKE & PASTRY CORP.,137597-111,J.J. CAKE & PASTRY CORP.,ACTIVA,exact
"Amcor Flexibles Puerto Rico, Inc.",137600-111,"AMCOR FLEXIBLES PUERTO RICO, INC.",ACTIVA,exact
METZGERMEISTER & RESEARCH CORP.,137878-1011,"METZGERMEISTER & RESEARCH, CORP.",ACTIVA,exact
"T-SHIRT PRINT EXPRESS, INC",138033-111,T-SHIRT PRINT EXPRESS INC.,ACTIVA,exact
JAAC HOLDINGS CORPORATION,136659-1011,JAAC HOLDINGS CORPORATION,ACTIVA,exact
"DULZURA BORINCANA, INC.",137454-111,"DULZURA BORINCANA, INC.",ACTIVA,exact
JJ CAKE & PASTRY CORP,137597-111,J.J. CAKE & PASTRY CORP.,ACTIVA,exact
"AMCOR FLEXIBLES PUERTO RICO, INC.",137600-111,"AMCOR FLEXIBLES PUERTO RICO, INC.",ACTIVA,exact
"P.R. Blanco Realty Group, Inc",138164-111,"P.R. BLANCO REALTY GROUP, INC.",ACTIVA,exact
"DH DISTRIBUTORS, INC.",138433-111,DH DISTRIBUTORS INC.,ACTIVA,exact
Greetings Plus Inc.,138757-1011,"GREETINGS PLUS, INC.",CANCELADA,exact
"CADILLAC GROUP REALTY, INC.",139115-111,"CADILLAC GROUP REALTY, INC.",CONVERSIÓN,exact
ELDECO SERVICES INC.,139231-111,"ELDECO SERVICES, INC.",CONVERSIÓN,exact
"STERLING MARBLE & GRANITE, INC.",139265-111,"STERLING MARBLE & GRANITE, INC.",ACTIVA,exact
PACIFIC GLOBAL PACKAGING INC,139928-111,"PACIFIC GLOBAL PACKAGING, INC.",ACTIVA,exact
BTB Corporation,139953-111,BTB CORPORATION,ACTIVA,exact
PR Blanco Realty Group Inc.,138164-111,"P.R. BLANCO REALTY GROUP, INC.",ACTIVA,exact
"COMBE PRODUCTS, INC.",140399-111,"COMBE PRODUCTS, INC.",ACTIVA,exact
"GAS NATURAL PUERTO RICO, INC.",140438-111,"GAS NATURAL PUERTO RICO, INC.",ACTIVA,exact
AluWest Industries Inc,140453-111,ALUWEST INDUSTRIES INC.,ACTIVA,exact
PRIORITY RORO SERVICES INC,141248-111,"PRIORITY RORO SERVICES, INC.",ACTIVA,exact
Dorado Quarry and Recycling Corp.,141610-111,DORADO QUARRY AND RECYCLING CORP.,ACTIVA,exact
"BP Blow Molding, Inc. ",140457-111,"BP BLOW MOLDING, INC.",ACTIVA,exact
BP BLOW MOLDING INC,140457-111,"BP BLOW MOLDING, INC.",ACTIVA,exact
"BP BLOW MOLDING, INC.",140457-111,"BP BLOW MOLDING, INC.",ACTIVA,exact
PROPPER INTERNATIONAL INC,141910-111,"PROPPER INTERNATIONAL, INC.",ACTIVA,exact
Campolor Inc,141919-111,"CAMPOLOR, INC.",ACTIVA,exact
Universal Chemicals Products Corp,142275-111,"UNIVERSAL CHEMICALS PRODUCTS, CORP.",ACTIVA,exact
RUBBER & GASKET CO. OF P.R INC,142455-111,RUBBER & GASKET CO. OF P.R. INC.,ACTIVA,exact
"EAGLE INDUSTRIES DEL CARIBE, INC.",143135-111,"EAGLE INDUSTRIES DEL CARIBE, INC.",ACTIVA,exact
"Aero Investment Group, Inc.",143206-111,"AERO INVESTMENT GROUP, INC.",FUSIONADA,exact
Bella Export Corporation,143378-1011,BELLA EXPORT CORPORATION,ACTIVA,exact
JJ Trading Export Corp,143681-111,JJ TRADING EXPORT CORP.,ACTIVA,exact
"KPM REALTY ADVISORS, INC.",141903-1011,"KPM REALTY ADVISORS, INC.",ACTIVA,exact
"PROPPER INTERNATIONAL, INC.",141910-111,"PROPPER INTERNATIONAL, INC.",ACTIVA,exact
Campolor Inc.,141919-111,"CAMPOLOR, INC.",ACTIVA,exact
Gina Exports Corp,142326-111,GINA EXPORTS CORP.,CANCELADA,exact
"Propper International, Inc.",141910-111,"PROPPER INTERNATIONAL, INC.",ACTIVA,exact
"Indexa, Inc.",145077-111,"INDEXA, INC.",ACTIVA,exact
PCG International Corp,145190-111,"PCG INTERNATIONAL, CORP",DISUELTA,exact
"Medika Imaging, Inc",145283-1011,"MEDIKA IMAGING, INC",ACTIVA,exact
"INDEXA, INC.",145077-111,"INDEXA, INC.",ACTIVA,exact
MEDIKA IMAGING INC,145283-1011,"MEDIKA IMAGING, INC",ACTIVA,exact
Medika Imaging Inc.,145283-1011,"MEDIKA IMAGING, INC",ACTIVA,exact
PRINT SOLUTIONS CORP,145711-111,PRINT SOLUTIONS CORP.,ACTIVA,exact
HARBOR BUNKERING CORPORATION,145921-111,HARBOR BUNKERING CORPORATION,ACTIVA,exact
Inomax Inc.,145965-111,"INOMAX, INC.",DISUELTA,exact
Prometal MFG Inc.,146226-1011,"PROMETAL MFG., INC.",ACTIVA,exact
"ROF DRAPERIES, INC.",146244-1011,ROF DRAPERIES INC.,ACTIVA,exact
GA DESIGN & SOURCING CORP,146739-111,GA DESIGN & SOURCING CORP.,CANCELADA,exact
"Aceros de America, Inc.",146834-111,"ACEROS DE AMERICA, INC.",ACTIVA,exact
"R.O.F. DRAPERIES, INC.",146244-1011,ROF DRAPERIES INC.,ACTIVA,exact
"VASSALLO INTERNATIONAL GROUP, INC",147409-111,"VASSALLO INTERNATIONAL GROUP, INC.",CANCELADA,exact
"ECOURBANA, INC.",147856-111,"ECOURBANA, INC.",CANCELADA,exact
CANTERA CARMELO INC,148002-111,"CANTERA CARMELO, INC.",FUSIONADA,exact
"SARTORIUS STEDIM FILTERS, INC.",148308-111,SARTORIUS STEDIM FILTERS INC.,ACTIVA,exact
DAMIAN ALUMINUM INC,149019-111,DAMIAN ALUMINUM INC.,ACTIVA,exact
Cantera Carmelo Inc.,148002-111,"CANTERA CARMELO, INC.",FUSIONADA,exact
SARTORIUS STEDIM FILTERS INC,148308-111,SARTORIUS STEDIM FILTERS INC.,ACTIVA,exact
"DAMIAN ALUMINUM, INC.",149019-111,DAMIAN ALUMINUM INC.,ACTIVA,exact
"All Trailer Office, Inc.",149740-1011,ALL TRAILER OFFICE INC.,ACTIVA,exact
"Promed Molded Products Caribe, Inc.",149750-111,"PROMED MOLDED PRODUCTS CARIBE, INC.",ACTIVA,exact
JACKDAWS CORP.,150211-111,JACKDAWS CORP.,DISUELTA,exact
"COMUNICADORES GRAFICOS, INC.",150302-111,"COMUNICADORES GRAFICOS, INC.",ACTIVA,exact
GANADEROS BORGES INC.,150738-111,"GANADEROS BORGES, INC.",ACTIVA,exact
"PROMED MOLDED PRODUCTS CARIBE, INC.",149750-111,"PROMED MOLDED PRODUCTS CARIBE, INC.",ACTIVA,exact
"ALP CARIBBEAN, INC.",151087-111,"ALP CARIBBEAN, INC.",DISUELTA,exact
"GLASS SOLUTIONS, CORP.",151440-111,GLASS SOLUTIONS CORP.,CANCELADA,exact
"MORETTA DIAZ, CORP.",151571-1011,"MORETTA DIAZ, CORP.",ACTIVA,exact
"OPERATING PARTNERS CO., INC.",152252-111,"OPERATING PARTNERS CO, INC.",CONVERSIÓN,exact
QRC GROUP LLC,152295-111,QRC GROUP LLC,ACTIVA,exact
CARIBBEAN ALL METAL RECYCLERS CORP,152810-111,CARIBBEAN ALL METAL RECYCLERS CORP.,ACTIVA,exact
"AMCOR PET PACKAGING DE PUERTO RICO, INC.",153112-111,"AMCOR PET PACKAGING DE PUERTO RICO, INC.",DISUELTA,exact
Relisc Corporation,153765-1011,RELISC CORPORATION,ACTIVA,exact
"CINEMAS MANAGEMENT INTERNATIONAL, INC.",153906-111,"CINEMAS MANAGEMENT INTERNATIONAL, INC.",ACTIVA,exact
"Aconcagua Dental Manufacturing Laboratory, Corp.",154211-111,"ACONCAGUA DENTAL MANUFACTURING LABORATORY, CORP.",ACTIVA,exact
ACONCAGUA DENTAL MANUFACTURING LABORATORY CORP.,154211-111,"ACONCAGUA DENTAL MANUFACTURING LABORATORY, CORP.",ACTIVA,exact
CARIBBOUT EXPORT CORP,154866-111,"CARIBBOUT EXPORT, CORP.",ACTIVA,exact
Ultimate Solutions Corp,155199-111,ULTIMATE SOLUTIONS CORP.,ACTIVA,exact
"ALVALLE & CO., INC.",155597-1011,"ALVALLE & CO., INC.",DISUELTA,exact
"MARVEL INTERNATIONAL, INC.",156296-111,"MARVEL INTERNATIONAL, INC",ACTIVA,exact
ULTIMATE SOLUTIONS CORP,155199-111,ULTIMATE SOLUTIONS CORP.,ACTIVA,exact
"DESIGN FURNITURE COMPANY, INC.",155473-1011,"DESIGN FURNITURE COMPANY, INC.",CANCELADA,exact
World Engineering Solutions Corp,156696-111,WORLD ENGINEERING SOLUTIONS CORP.,ACTIVA,exact
"ALTURA FOOD, INC.",156794-111,"ALTURA FOOD, INC.",ACTIVA,exact
"COLORCON P.R., INC.",157192-111,"COLORCON P.R., INC.",CONVERSIÓN,exact
APA Realty Inc.,157485-111,"APA REALTY, INC.",ACTIVA,exact
"PVE MANUFACTURING, CORP.",157030-111,PVE MANUFACTURING CORP.,CANCELADA,exact
"RR Technology Group, Inc.",158350-111,"RR TECHNOLOGY GROUP, INC.",CANCELADA,exact
"Thermo Electron Puerto Rico, Inc.",158488-111,"THERMO ELECTRON PUERTO RICO, INC.",ACTIVA,exact
"REBEXA GROUP, INC.",158918-1011,"REBEXA GROUP, INC.",ACTIVA,exact
"CERVEZAS DEL SUR, INC.",159411-111,"CERVEZAS DEL SUR, INC.",CANCELADA,exact
DEMACO TERMINAL OPERATIONS CORP,159526-1011,"DEMACO TERMINAL OPERATIONS, CORP.",ACTIVA,exact
Prosit properties inc.,160172-111,"PROSIT PROPERTIES, INC.",ACTIVA,exact
"THERMO ELECTRON PUERTO RICO, INC.",158488-111,"THERMO ELECTRON PUERTO RICO, INC.",ACTIVA,exact
Master Décor Corporation,158549-111,MASTER DECOR CORPORATION,FUSIONADA,exact
"Prospero Tire Export, Inc.",160413-1011,"PROSPERO TIRE EXPORT, INC.",ACTIVA,exact
HOLLOW CORE SLABS OF PR CORP.,160862-1011,HOLLOW CORE SLABS OF PR CORP.,ACTIVA,exact
"Gaby Donas, Inc,",161515-111,GABY DONAS INC.,CANCELADA,exact
"LIMBER TITO, CORP.",161746-111,LIMBER TITO CORP.,ACTIVA,exact
"CANTERA CORALINA, INC.",161767-111,"CANTERA CORALINA, INC.",CANCELADA,exact
"Catalent P.R. Manati, Inc.",161903-111,"CATALENT PR MANATI, INC.",DISUELTA,exact
"Catalent P.R. Manati, Inc.",161904-111,"CATALENT PR MANATI, INC.",CANCELADA,exact
KCPR Inc.,161526-111,"KCPR, INC.",DISUELTA,exact
"VIVO RECYCLING, INC.",162472-111,"VIVO RECYCLING, INC.",ACTIVA,exact
Viant Puerto Rico INC,163035-111,"VIANT PUERTO RICO, INC.",ACTIVA,exact
"ESSIG PR, INC.",163466-111,"ESSIG PR, INC.",ACTIVA,exact
"TUY INVESTMENT GROUP, INC.",163522-111,"TUY INVESTMENT GROUP, INC.",ACTIVA,exact
TM Exports Corp,164034-1011,TM EXPORTS CORP.,CANCELADA,exact
"Positronic Industries Caribe, Inc.",164288-111,"POSITRONIC INDUSTRIES CARIBE, INC.",DISUELTA,exact
CLEAN ROOM TECHNOLOGIES CORP.,164312-111,"CLEAN ROOM TECHNOLOGIES, CORP.",DISUELTA,exact
"Seamless Puerto Rico, Inc.",165156-111,"SEAMLESS PUERTO RICO, INC.",ACTIVA,exact
"Honeywell Aerospace de Puerto Rico, Inc.",165947-111,"HONEYWELL AEROSPACE DE PUERTO RICO, INC.",ACTIVA,exact
"EXTREME GRAPHICS, INC.",165995-1011,EXTREME GRAPHICS INC.,ACTIVA,exact
NORTH STEEL & IRON WORKS CORP,167862-111,"NORTH STEEL & IRON WORKS, CORP.",DISUELTA,exact
"CASCADES TECHNOLOGIES OF PUERTO RICO, INC.",167664-111,"CASCADES TECHNOLOGIES OF PUERTO RICO, INC.",ACTIVA,exact
"CERTIFIED GOLD EXCHANGE, INC.",168108-111,"CERTIFIED GOLD EXCHANGE, INC.",DISUELTA,exact
"CAROLINA TECH, INC.",168341-111,"CAROLINA TECH, INC.",ACTIVA,exact
"NET CLAIM SOLUTIONS, INC.",168629-1011,"NET CLAIM SOLUTIONS, INC.",ACTIVA,exact
"PONCE GRAPHICS & CUSTOM SIGN, INC",168836-1011,"PONCE GRAPHICS & CUSTOM SIGN, INC.",CANCELADA,exact
"Xapiens International Group, Inc.",169043-111,"XAPIENS INTERNATIONAL GROUP, INC.",ACTIVA,exact
Destileria Coqui Inc.,169317-111,DESTILERIA COQUI INC.,ACTIVA,exact
DM ALUMINUM AND GLASS CORPORATION,169393-1011,DM ALUMINUM AND GLASS CORPORATION,CANCELADA,exact
"ALS ADVANCED LOGISTIC SPECIALTIES, INC.",169620-111,"ALS ADVANCED LOGISTIC SPECIALTIES, INC.",CANCELADA,exact
"DIABETIC SOLUTIONS MEDICAL EQUIPMENT & PROSTETHICS, CORP.",169044-1011,"DIABETIC SOLUTIONS MEDICAL EQUIPMENT & PROSTETHICS, CORP.",ACTIVA,exact
ORVIS V CORPORATION,170057-111,ORVIS V CORPORATION,ACTIVA,exact
Atlas IT Export Corp,170227-1011,"ATLAS IT EXPORT, CORP.",CANCELADA,exact
"MAGIC CONSULTING GROUP, INC",170747-111,"MAGIC CONSULTING GROUP, INC.",ACTIVA,exact
"UNLIMITED SERVICES EXPORT, CORP.",172264-111,"UNLIMITED SERVICES EXPORT, CORP.",CANCELADA,exact
Unicon Holdings Inc.,172515-111,"UNICON HOLDINGS, INC.",DISUELTA,exact
"Winnet Connections, Inc.",172614-111,WINNET CONNECTIONS INC.,ACTIVA,exact
"TRUENORTH INFORMATION TECHNOLOGIES SERVICES, INC.",172829-1011,"TRUENORTH INFORMATION TECHNOLOGIES SERVICES, INC.",ACTIVA,exact
"NOVEL ADVERTISING INTERACTIVE SOLUTIONS, CORP.",172909-111,NOVEL ADVERTISING INTERACTIVE SOLUTIONS CORP.,ACTIVA,exact
"American Micro Steel of Puerto Rico, Inc.",173049-111,"AMERICAN MICRO STEEL OF PUERTO RICO, INC.",CANCELADA,exact
"Perfect Sweet, Inc.",173445-111,PERFECT SWEET INC.,CANCELADA,exact
CARIBBEAN DUCTWORK MANUFACTURING CORP.,172263-111,CARIBBEAN DUCTWORK MANUFACTURING CORP.,CANCELADA,exact
"GEMA RECYCLING SERVICES, INC.",173527-111,"GEMA RECYCLING SERVICES, INC.",ACTIVA,exact
AC CULINARY GROUP LLC,173570-111,AC CULINARY GROUP LLC,ACTIVA,exact
"TELEMEDIK INNOVA HEALTHSOLUTIONS, INC",173854-111,"TELEMEDIK INNOVA HEALTHSOLUTIONS, INC.",ACTIVA,exact
"Principia, Inc.",174541-111,"PRINCIPIA, INC.",ACTIVA,exact
WESTERN MEAT PROCESSORS INC,175560-111,"WESTERN MEAT PROCESSORS, INC.",ACTIVA,exact
Pharma Serv Inc,175782-111,"PHARMA SERV, INC.",ACTIVA,exact
"Aicon Mechanics, Inc.",175898-111,"AICON MECHANICS, INC.",DISUELTA,exact
"Caribbean Chemical Industries, Corp.",175916-111,"CARIBBEAN CHEMICAL INDUSTRIES, CORP",ACTIVA,exact
PROCESADORA DE METALES INC.,175951-111,"PROCESADORA DE METALES, INC.",CONVERSIÓN,exact
Expressway Graphics Corp.,176416-111,"EXPRESSWAY GRAPHICS, CORP.",ACTIVA,exact
"Patent Solutions Group, Inc.",176540-111,"PATENT SOLUTIONS GROUP, INC.",CANCELADA,exact
"Royal Unibrew Caribbean, Inc.",176800-111,ROYAL UNIBREW CARIBBEAN INC.,DISUELTA,exact
"CEPHALON BORINQUEN, INC.",176865-111,"CEPHALON BORINQUEN, INC.",DISUELTA,exact
"HERAEUS MEDICAL COMPONENTS CARIBE, INC.",177430-111,"HERAEUS MEDICAL COMPONENTS CARIBE, INC.",ACTIVA,exact
CLAIMS SOFTWARE DEVELOPMENT CORP.,177521-111,CLAIMS SOFTWARE DEVELOPMENT CORP.,ACTIVA,exact
"Segarra's Sausage Mfg, Inc.",177585-1011,"SEGARRA'S SAUSAGE MFG, INC.",ACTIVA,exact
"RG RECYCLING, CORP",178321-1011,"RG RECYCLING, CORP.",ACTIVA,exact
"RUONIP, INC.",177738-1011,"RUONIP, INC.",ACTIVA,exact
"APEX TECHNOLOGIES, INC",179613-111,"APEX TECHNOLOGIES, INC.",FUSIONADA,exact
"Noliar, Inc.",179909-111,NOLIAR INC.,CANCELADA,exact
"BEST TIRE RECYCLING, INC.",180808-111,"BEST TIRE RECYCLING, INC.",CANCELADA,exact
"Grupo Manufacturero Vazquez, Inc.",181251-1011,"GRUPO MANUFACTURERO VÁZQUEZ, INC.",ACTIVA,exact
"Pachiche, Inc.",181264-111,"PACHICHE, INC",CANCELADA,exact
"LIBERTY DATA, INC.",181395-111,LIBERTY DATA INC.,DISUELTA,exact
"Bloom Produce, Inc",181541-111,BLOOM PRODUCE INC.,CANCELADA,exact
"Mol Research and Development, Inc.",181645-111,"MOL RESEARCH AND DEVELOPMENT, INC.",ACTIVA,exact
"MOL EXCHANGE, INC.",181646-111,"MOL EXCHANGE, INC.",ACTIVA,exact
"ICC MANUFACTURING, INC.",181730-111,"ICC MANUFACTURING, INC.",DISUELTA,exact
Nostrom Moving Images Group Corp,182041-1011,"NOSTROM MOVING IMAGES GROUP, CORP.",ACTIVA,exact
"PUERTO RICO WIRE HANGERS, INC.",182229-1011,PUERTO RICO WIRE HANGERS INC.,CANCELADA,exact
"SYSTEM SHRED, INC.",182498-111,"SYSTEM SHRED, INC.",ACTIVA,exact
"Puerto Rico ULD Services, Corp",182536-111,"PUERTO RICO ULD SERVICES, CORP.",ACTIVA,exact
"J.C.C INTERNATIONAL ENTERPRISES, INC.",181888-1011,"J.C.C. INTERNATIONAL ENTERPRISES, INC.",CANCELADA,exact
"PAMEK, CORP",183109-111,"PAMEK, CORP.",CANCELADA,exact
"L.W.V.H. FRIENDS MANUFACTURING, CORP.",184559-111,"L.W.V.H. FRIENDS MANUFACTURING, CORP.",CANCELADA,exact
"E-HEALTH PARTNERS, INC.",184686-111,"E-HEALTH PARTNERS, INC.",ACTIVA,exact
"Key Integrated Solutions, Inc.",184766-111,"KEY INTEGRATED SOLUTIONS, INC.",ACTIVA,exact
"Factoria Design Group, Inc.",185207-111,"FACTORÍA DESIGN GROUP, INC.",ACTIVA,exact
FLEXIBLE & INTEGRATED TECHNICAL SERVICES LLC,185581-1011,"FLEXIBLE & INTEGRATED TECHNICAL SERVICES, LLC",ACTIVA,exact
Synerlution Inc.,185975-111,SYNERLUTION INC.,ACTIVA,exact
"INFOPAGINAS, INC",186304-111,"INFOPÁGINAS, INC.",DISUELTA,exact
"EMCOR FACILITIES SERVICES (PR), INC.",186320-111,"EMCOR FACILITIES SERVICES (PR), INC.",DISUELTA,exact
Labchems Corp.,186978-111,"LABCHEMS, CORP.",ACTIVA,exact
"SOLUTIONS BY DESIGN, INC",187287-1011,"SOLUTIONS BY DESIGN, INC.",ACTIVA,exact
"PEVAFERSA AMERICA, INC.",187727-111,PEVAFERSA AMERICA INC.,CANCELADA,exact
COMMERCIAL EQUIPMENT FINANCE INC,187876-111,"COMMERCIAL EQUIPMENT FINANCE, INC.",ACTIVA,exact
"Bloques Caribe, Inc.",190481-111,"BLOQUES CARIBE, INC.",ACTIVA,exact
"BIOMEDICAL IMAGING MANUFACTURING, INC",191175-111,"BIOMEDICAL IMAGING MANUFACTURING, INC.",ACTIVA,exact
"BLU CARIBE, INC.",191566-111,"BLU CARIBE, INC.",ACTIVA,exact
"TETRA TECHNOLOGY, INC.",192779-111,TETRA TECHNOLOGY INC.,ACTIVA,exact
"CARIBE SERVICE & EQUIPMENT, INC.",192795-1011,"CARIBE SERVICE & EQUIPMENT, INC.",ACTIVA,exact
South Caribbean Financial Services Corp,192134-111,"SOUTH CARIBBEAN FINANCIAL SERVICES, CORP",ACTIVA,exact
CACIQUE FOODS CORP,193240-1011,CACIQUE FOODS CORP.,ACTIVA,exact
GREEN WINDOWS CORP,193974-1011,"GREEN WINDOWS, CORP.",ACTIVA,exact
xRM Group Inc.,194145-111,XRM GROUP INC.,ACTIVA,exact
"TEKSOL INTEGRATION GROUP, INC.",194777-1011,TEKSOL INTEGRATION GROUP INC.,ACTIVA,exact
"VIPAL DE PUERTO RICO, INC.",196025-111,"VIPAL DE PUERTO RICO, INC.",ACTIVA,exact
SOFTEX SUPPLY INC,196637-111,"SOFTEX SUPPLY, INC.",ACTIVA,exact
PAG TRADING CORP.,196680-111,PAG TRADING CORP.,ACTIVA,exact
"SCOREINC.COM, INC.",197432-111,"SCOREINC.COM, INC.",ACTIVA,exact
"ASPEN SURGICAL PUERTO RICO, CORP",197470-111,ASPEN SURGICAL PUERTO RICO CORP.,ACTIVA,exact
RK Power Generator Corp.,198102-1011,RK POWER GENERATOR CORP.,ACTIVA,exact
CORMAC MANUFACTURING CORPORATION,198156-1011,CORMAC MANUFACTURING CORPORATION,ACTIVA,exact
"I CARE MEDICAL, INC.",198416-111,I CARE MEDICAL INC.,CANCELADA,exact
"Caribbean Snacks & More, Inc.",198614-111,"CARIBBEAN SNACKS & MORE, INC.",ACTIVA,exact
"GROCERY EXPORTERS, INC.",198749-111,"GROCERY EXPORTERS, INC.",ACTIVA,exact
"SAFETY TRACKER SOFTWARE, CORP",197075-111,SAFETY TRACKER SOFTWARE CORP.,CONVERSIÓN,exact
REPR Corp.,197520-1011,REPR CORP.,ACTIVA,exact
"The Sugar Lab, Inc.",199095-111,"THE SUGAR LAB, INC.",CANCELADA,exact
"STERIS ISOMEDIX PUERTO RICO, INC.",199354-111,"STERIS ISOMEDIX PUERTO RICO, INC.",CANCELADA,exact
Nieves Aluminum Doors & Windows INC,199943-111,NIEVES ALUMINUM DOORS & WINDOWS INC.,ACTIVA,exact
Vernus Group Corp,200355-111,VERNUS GROUP CORP.,CANCELADA,exact
"AMERICAN BUTCHERS, INC.",200853-111,"AMERICAN BUTCHERS, INC.",ACTIVA,exact
"MADISON ORTHO, INC.",200914-1011,"MADISON ORTHO, INC.",ACTIVA,exact
Eco-Green Metal Recycling Corp.,199063-111,"ECO-GREEN METAL RECYCLING, CORP.",DISUELTA,exact
"Empacadora y Procesadora del Sur, Inc.",201571-111,"EMPACADORA Y PROCESADORA DEL SUR, INC.",ACTIVA,exact
"MHL Custom, Inc",202652-111,"MHL CUSTOM, INC.",ACTIVA,exact
"RENOVA Solutions, Corp.",203445-111,"RENOVA SOLUTIONS, CORP.",ACTIVA,exact
KP Alta Vista Inc,203709-111,"KP ALTA VISTA, INC.",ACTIVA,exact
"INVERSIONES CASA GRANDE, INC.",204600-111,"INVERSIONES CASA GRANDE, INC.",ACTIVA,exact
"EL CHURRY, INC.",205022-1011,"EL CHURRY, INC.",ACTIVA,exact
"REQUIRE PUERTO RICO, INC.",205039-111,REQUIRE PUERTO RICO INC.,ACTIVA,exact
"INTERNATIONAL TECHNOLOGIES MARKETING, INC.",205055-111,"INTERNATIONAL TECHNOLOGIES MARKETING, INC.",CANCELADA,exact
"Ronda Pro, Inc.",204307-111,"RONDA PRO, INC.",ACTIVA,exact
"GDI PUERTO RICO, INC.",205259-1011,"GDI PUERTO RICO, INC.",DISUELTA,exact
AJR MANUFACTURING CORP.,205571-111,AJR MANUFACTURING CORP.,ACTIVA,exact
"EFH Global Holdings, Inc.",206492-111,"EFH GLOBAL HOLDINGS, INC.",CANCELADA,exact
"ARTISOFT LABORATORIES, LLC",300088-1531,"ARTISOFT LABORATORIES, LLC",ACTIVA,exact
CONESTOGA INTERNATIONAL LLC,300674-1531,"CONESTOGA INTERNATIONAL, LLC",ACTIVA,exact
"TBL Companies, LLC",300893-1531,"TBL COMPANIES, LLC",ACTIVA,exact
FOOD RESOURCES INTERNATIONAL TRADING CORP,301001-111,"FOOD RESOURCES INTERNATIONAL TRADING, CORP.",ACTIVA,exact
"Remington Steel & Signal, Corp.",302156-111,"REMINGTON STEEL & SIGNAL, CORP.",ACTIVA,exact
"James Settlement Services International, LLC",302259-1531,"JAMES SETTLEMENT SERVICES INTERNATIONAL, LLC",CANCELADA,exact
"Koolee Sales Company, Corp.",302904-111,"KOOLEE SALES COMPANY, CORP.",DISUELTA,exact
La Toja Realty LLC,303551-1531,"LA TOJA REALTY, LLC",ACTIVA,exact
"Greencorr Packaging Solutions, LLC",303998-1531,"GREENCORR PACKAGING SOLUTIONS, LLC",ACTIVA,exact
"SAN JUAN DRY DOCK, LLC",304997-1531,"SAN JUAN DRY DOCK, L.L.C.",CANCELADA,exact
Mindful Medical Research Corp.,305210-111,"MINDFUL MEDICAL RESEARCH, CORP.",ACTIVA,exact
"GLOBAL MANUFACTURING, LLC",305485-1531,"GLOBAL MANUFACTURING, LLC",ACTIVA,exact
"BEARCO, LLC",306055-1531,"BEARCO, LLC",ACTIVA,exact
"MULTI RECYCLING & MANUFACTURING, CORP.",307457-1011,"MULTI RECYCLING & MANUFACTURING, CORP.",CANCELADA,exact
Med Properties LLC,308606-1531,"MED PROPERTIES, LLC",ACTIVA,exact
"Corpometal Recycling, Inc.",310500-111,"CORPOMETAL RECYCLING, INC.",ACTIVA,exact
"Wolseley de Puerto Rico, Inc.",311915-111,"WOLSELEY DE PUERTO RICO, INC.",ACTIVA,exact
ASPHALT SOLUTIONS TOA ALTA LLC,313201-1531,"ASPHALT SOLUTIONS TOA ALTA, LLC",ACTIVA,exact
"NEOLPHARMA, INC.",313468-111,"NEOLPHARMA, INC.",ACTIVA,exact
"Industrial NDE & Inspection Services, Corp",315436-111,"INDUSTRIAL NDE & INSPECTION SERVICES, CORP.",ACTIVA,exact
"Branco, LLC",314026-1531,"BRANCO, LLC",ACTIVA,exact
Sans Tubing corporation,315725-111,"SANS TUBING, CORPORATION",ACTIVA,exact
"P.R. Enco Realty Group, Inc.",316821-111,"P.R. ENCO REALTY GROUP, INC.",ACTIVA,exact
"DULCES LA FE, INC",316850-111,"DULCES LA FE, INC.",ACTIVA,exact
"SSW Engineering & Construction, LLC",318098-1531,"SSW ENGINEERING & CONSTRUCTION, L.L.C.",ACTIVA,exact
"ORGANIC POWER, LLC",318435-1531,"ORGANIC POWER, LLC",ACTIVA,exact
"Borinquen Properties, LLC",319324-1511,"BORINQUEN PROPERTIES, LLC",ACTIVA,exact
"VALERO, INC",319506-111,"VALERO, INC.",CANCELADA,exact
"PROTEGO FOOTWEAR, INC",317904-111,"PROTEGO FOOTWEAR, INC.",ACTIVA,exact
"ARTIFEX SOLUTIONS, LLC",319978-1511,"ARTIFEX SOLUTIONS, LLC",ACTIVA,exact
"SRC MANUFACTURING, LLC",321649-1511,"SRC MANUFACTURING, LLC",DISUELTA,exact
Cediprof Inc.,324539-111,CEDIPROF INC.,ACTIVA,exact
"DNE Research and Innovation, LLC",324040-1511,"DNE RESEARCH AND INNOVATION, LLC",ACTIVA,exact
DNE Labs LLC,324059-1511,"DNE LABS, LLC",ACTIVA,exact
"INVERSIONES 2013, LLC",326211-1511,"INVERSIONES 2013, LLC",ACTIVA,exact
"XUVO TECHNOLOGIES, LLC",327456-1011,XUVO TECHNOLOGIES LLC,ACTIVA,exact
3MG R&D LLC,328446-1511,3MG R&D LLC,ACTIVA,exact
"Waste Sorters of Puerto Rico, LLC.",329577-1511,"WASTE SORTERS OF PUERTO RICO, LLC",CANCELADA,exact
SG APPAREL MANUFACTURING LLC,331111-1511,SG APPAREL MANUFACTURING LLC,ACTIVA,exact
"GREAT BAY ENERGY V, LLC",331174-1511,GREAT BAY ENERGY V LLC,DISUELTA,exact
RainePR LLC,331552-1511,"RAINEPR, LLC",ACTIVA,exact
Social Solutions LLC,331949-1511,SOCIAL SOLUTIONS LLC,DISUELTA,exact
